city,state,fiscal_year,cityonly_police_fire_pct_general,fisc_police_fire_pct_general,fisc_police_usd,fisc_fire_usd,fisc_general_expenditure_usd,census_flags
Anchorage,AK,2012,17.39,17.39,123925565,90762795,1234531844,R/R
Anchorage,AK,2017,17.7,17.7,132306942,114613104,1395348236,R/R
Anchorage,AK,2022,14.64,14.64,147981253,124502164,1861266564,R/R
Anchorage,AK,2023,16.78,16.78,153006643,121376568,1635106114,R/R
Birmingham,AL,2012,28.51,13.24,87724674,57729122,1098960681,R/R
Birmingham,AL,2017,30.47,16.17,111320583,65156503,1091397380,R/R
Birmingham,AL,2022,34.48,16.7,117309630,75117876,1152421844,R/R
Birmingham,AL,2023,34.93,17.99,136495601,85410414,1233729395,R/R
Mobile,AL,2012,19.11,10.7,61486566,24719355,805469783,R/R
Mobile,AL,2017,21.73,11.68,64508381,31196979,819539077,R/R
Mobile,AL,2022,29.75,14.2,85896269,38137243,873343269,R/R
Mobile,AL,2023,24.2,11.52,88357012,34698588,1067929659,R/R
Montgomery,AL,2012,36.04,10.43,55345853,32012793,837662918,R/R
Montgomery,AL,2017,36.22,9.39,56253164,33295752,953224071,R/R
Montgomery,AL,2022,36.36,8.57,62658695,33446414,1120879627,R/R
Montgomery,AL,2023,49.38,9.72,69544082,46555247,1194128199,R/R
Little Rock,AR,2012,26.65,12.38,60272119,39865464,809129395,R/R
Little Rock,AR,2017,24.41,13.19,77088447,50119399,964453562,R/R
Little Rock,AR,2022,24.49,13.95,86545738,57316627,1031388649,R/R
Little Rock,AR,2023,24.97,12.74,84800062,58598047,1125213911,R/R
Mesa,AZ,2012,38.85,17.84,168491156,76112034,1371358709,R/R
Mesa,AZ,2017,36.91,18.08,192979159,84141992,1533105849,R/R
Mesa,AZ,2022,46.09,18.91,255589725,120839175,1990696269,R/R
Mesa,AZ,2023,36.74,16.07,247641242,94938710,2131213365,RS/S
Phoenix,AZ,2012,29.26,14.47,507490129,283469739,5467878326,R/R
Phoenix,AZ,2017,30.26,14.46,498499591,310015539,5592316117,R/R
Phoenix,AZ,2022,30.22,13.04,552331765,364948539,7036290865,R/R
Phoenix,AZ,2023,33.69,15.19,745818112,396561280,7521900672,R/R
Tucson,AZ,2012,34.63,15.41,217630858,77621633,1916342286,R/R
Tucson,AZ,2017,43.78,19.75,262658391,97475178,1823787877,R/RS
Tucson,AZ,2022,55.25,23.21,339046281,118304360,1970280206,R/R
Tucson,AZ,2023,34.51,17.02,273601131,102690073,2210647866,RS/S
Anaheim,CA,2012,24.85,11.43,133872424,55156660,1654381574,R/R
Anaheim,CA,2017,30.73,13.35,182106581,69669628,1885482963,R/R
Anaheim,CA,2022,31.54,14.7,265992731,84776303,2385877202,R/R
Anaheim,CA,2023,32.11,15.29,312325108,98393869,2686138187,R/R
Bakersfield,CA,2012,27.02,10.67,108469497,82203234,1787502747,R/R
Bakersfield,CA,2017,26.15,10.99,136347567,92278666,2080504131,IR/IR
Bakersfield,CA,2022,32.32,8.35,197552049,53003880,2998973286,R/R
Bakersfield,CA,2023,35.64,8.59,223893392,56753910,3265328094,R/R
Fremont,CA,2012,41.14,11.04,81335111,46760895,1160137748,R/R
Fremont,CA,2017,41.16,9.93,87322213,60792517,1492301054,R/R
Fremont,CA,2022,43.06,10.87,118993508,81901069,1848214788,R/R
Fremont,CA,2023,43.7,11.1,133091411,88001575,1992462870,R/R
Fresno,CA,2012,38.31,9.48,191338324,55074685,2599214448,R/R
Fresno,CA,2017,43.29,8.85,234600663,53438004,3253301636,R/R
Fresno,CA,2022,35.19,9.57,382937789,80500524,4843468204,R/R
Fresno,CA,2023,28.73,7.4,308648077,79375538,5244080508,R/R
Huntington Beach,CA,2012,42.67,16.21,85051374,33713757,732867513,R/R
Huntington Beach,CA,2017,46.93,16.92,103514501,40875255,853245933,R/IR
Huntington Beach,CA,2022,40.56,17.26,150852473,48663122,1156017497,R/R
Huntington Beach,CA,2023,40.9,17.33,168187992,52677440,1274638218,R/R
Long Beach,CA,2012,14.97,10.68,270745514,101255387,3483200700,R/R
Long Beach,CA,2017,18.59,11.9,330896860,118923125,3780967716,R/R
