pid,census_raw_id,city,state,fips_place,fiscal_year,population,population_year,full_census_year,total_expenditure_usd,general_expenditure_usd,direct_general_expenditure_usd,general_ex_education_usd,education_usd,county_like_functions_usd,police_usd,police_current_ops_usd,police_capital_usd,fire_usd,fire_current_ops_usd,fire_capital_usd,police_intergov_usd,fire_intergov_usd,enterprise_usd,health_usd,core_municipal_expenditure_usd,police_flags,fire_flags,unit_imputed_share,n_items,record_complete,police_pct_general,police_pct_total,police_pct_general_ex_edu,police_pct_core,fire_pct_general,fire_pct_total,fire_pct_general_ex_edu,fire_pct_core,police_fire_pct_general,police_fire_pct_total,police_fire_pct_general_ex_edu,police_fire_pct_core
100750,05204800300000,Fairfield,CA,23182,2012,112970,2016,True,168007000,120793000,119856000,120793000,0,0,32459000,32459000,0,14164000,14164000,0,0,0,0,1145000,119648000,R,R,0.0,60,True,26.87,19.32,26.87,27.13,11.73,8.43,11.73,11.84,38.6,27.75,38.6,38.97
101409,06203500300000,Fort Collins,CO,27425,2012,161175,2016,True,368388000,232930000,212761000,232930000,0,0,31780000,30760000,1020000,0,0,0,97000,18994000,85000,0,232845000,R,-,0.017,76,True,13.64,8.63,13.64,13.65,0.0,0.0,0.0,0.0,13.64,8.63,13.64,13.65
101696,07200500800000,Waterbury,CT,80000,2012,108802,2016,True,637845000,626168000,616996000,261419000,364749000,3684000,30149000,30149000,0,19427000,19143000,284000,0,0,0,3056000,254679000,R,R,0.0,73,True,4.81,4.73,11.53,11.84,3.1,3.05,7.43,7.63,7.92,7.77,18.96,19.47
101927,10200600900000,Miramar,FL,45975,2012,137132,2016,True,153284000,135302000,135302000,135302000,0,0,40120000,39238000,882000,21177000,20392000,785000,0,0,0,0,135302000,R,R,0.0,71,True,29.65,26.17,29.65,29.65,15.65,13.82,15.65,15.65,45.3,39.99,45.3,45.3
101942,10201600300000,Jacksonville,FL,35000,2012,868031,2016,True,4040427000,1860110000,1737000000,1860110000,0,87362000,299212000,295052000,4160000,162641000,159766000,2875000,160000,0,134896000,61685000,1576167000,R,R,0.0,133,True,16.09,7.41,16.09,18.98,8.74,4.03,8.74,10.32,24.83,11.43,24.83,29.3
102163,11201100100000,Macon-Bibb County,GA,49008,2012,153515,2016,True,116622000,115343000,113233000,115343000,0,496000,23781000,21198000,2583000,25970000,23519000,2451000,0,0,1421000,497000,112929000,R,R,0.0,81,True,20.62,20.39,20.62,21.06,22.52,22.27,22.52,23.0,43.13,42.66,43.13,44.06
102716,14204500700000,Elgin,IL,23074,2012,112111,2016,True,146484000,125188000,125188000,125188000,0,0,34676000,33670000,1006000,21805000,21805000,0,0,0,0,0,125188000,R,R,0.0,63,True,27.7,23.67,27.7,27.7,17.42,14.89,17.42,17.42,45.12,38.56,45.12,45.12
102882,14210100600000,Rockford,IL,65000,2012,148276,2016,True,202201000,176645000,175661000,176645000,0,16873000,44711000,44711000,0,39508000,39508000,0,0,0,0,0,159772000,R,R,0.0,62,True,25.31,22.11,25.31,27.98,22.37,19.54,22.37,24.73,47.68,41.65,47.68,52.71
103799,15202900500000,Fishers,IN,23278,2012,88658,2016,True,55305000,55305000,55305000,55305000,0,0,7032000,6947000,85000,8212000,8177000,35000,0,0,0,0,55305000,R,R,0.0,47,True,12.71,12.71,12.71,12.71,14.85,14.85,14.85,14.85,27.56,27.56,27.56,27.56
106055,22200500500000,Lynn,MA,37490,2012,92457,2016,True,313431000,311673000,306541000,121453000,190220000,996000,16832000,16832000,0,16050000,16050000,0,0,0,0,70000,120387000,R,R,0.586,62,True,5.4,5.37,13.86,13.98,5.15,5.12,13.21,13.33,10.55,10.49,27.07,27.31
106061,22200700300000,Springfield,MA,67000,2012,154341,2016,True,705917000,703633000,697790000,241357000,462276000,2965000,38303000,38294000,9000,18874000,18874000,0,0,0,0,1366000,237026000,R,R,0.574,69,True,5.44,5.43,15.87,16.16,2.68,2.67,7.82,7.96,8.13,8.1,23.69,24.12
106079,22201400400000,Worcester,MA,82000,2012,184815,2016,True,754679000,726644000,712914000,335380000,391264000,0,41157000,40962000,195000,32170000,32142000,28000,0,0,0,195000,335185000,R,R,0.47,87,True,5.66,5.45,12.27,12.28,4.43,4.26,9.59,9.6,10.09,9.72,21.86,21.88
108127,27205600100000,Billings,MT,06550,2012,110263,2016,True,150128000,121352000,121352000,121352000,0,0,19518000,19000000,518000,15000000,15000000,0,0,0,13348000,769000,107235000,R,R,0.0,79,True,16.08,13.0,16.08,18.2,12.36,9.99,12.36,13.99,28.44,22.99,28.44,32.19
108910,29201600200000,Sparks,NV,68400,2012,96094,2016,True,85834000,85834000,85575000,85834000,0,0,19902000,19761000,141000,14258000,14161000,97000,0,0,0,0,85834000,R,R,0.0,48,True,23.19,23.19,23.19,23.19,16.61,16.61,16.61,16.61,39.8,39.8,39.8,39.8
109593,33206002800000,Yonkers,NY,84000,2012,201116,2016,True,989861000,967480000,960304000,460022000,507458000,0,82206000,81109000,1097000,55430000,55009000,421000,0,0,0,629000,459393000,R,R,0.501,74,True,8.5,8.3,17.87,17.89,5.73,5.6,12.05,12.07,14.23,13.9,29.92,29.96
110047,34201300100000,Concord,NC,14100,2012,87696,2016,True,206466000,107683000,107610000,107683000,0,0,17805000,16885000,920000,15003000,14630000,373000,0,0,11911000,32000,95740000,R,R,0.03,88,True,16.53,8.62,16.53,18.6,13.93,7.27,13.93,15.67,30.47,15.89,30.47,34.27
112811,40200400400000,Providence,RI,59000,2012,179207,2016,True,778142000,715726000,714866000,332177000,383549000,0,82196000,82196000,0,63077000,63077000,0,0,0,0,0,332177000,R,R,0.0,61,True,11.48,10.56,24.74,24.74,8.81,8.11,18.99,18.99,20.3,18.67,43.73,43.73
113634,44210800400000,Edinburg,TX,22660,2012,84497,2016,True,80951000,71068000,71068000,71068000,0,0,12619000,12355000,264000,3108000,3033000,75000,0,0,473000,1412000,69183000,R,R,0.0,72,True,17.76,15.59,17.76,18.24,4.37,3.84,4.37,4.49,22.13,19.43,22.13,22.73
114311,45201800900000,West Jordan,UT,82950,2012,111946,2016,True,72407000,59004000,59004000,59004000,0,0,13176000,13176000,0,8603000,8603000,0,0,0,0,0,59004000,R,R,0.0,48,True,22.33,18.2,22.33,22.33,14.58,11.88,14.58,14.58,36.91,30.08,36.91,36.91
114563,47210570100000,Chesapeake,VA,16000,2012,235429,2016,True,915566000,865589000,855166000,396376000,469213000,65209000,39635000,39364000,271000,39160000,39157000,3000,0,0,1686000,28552000,300929000,R,R,0.0,106,True,4.58,4.33,10.0,13.17,4.52,4.28,9.88,13.01,9.1,8.61,19.88,26.18
114624,48201700400000,Bellevue,WA,05210,2012,139820,2016,True,287622000,252121000,245121000,252121000,0,2792000,28555000,28555000,0,15749000,15226000,523000,2032000,0,0,16253000,233076000,R,R,0.025,77,True,11.33,9.93,11.33,12.25,6.25,5.48,6.25,6.76,17.57,15.4,17.57,19.01
122748,03200700700000,Goodyear,AZ,28380,2012,79003,2016,True,91238000,78839000,78839000,78839000,0,0,13280000,13280000,0,11234000,11234000,0,0,0,0,0,78839000,R,R,0.0,46,True,16.84,14.56,16.84,16.84,14.25,12.31,14.25,14.25,31.09,26.87,31.09,31.09
123092,05200100300000,Berkeley,CA,06000,2012,120972,2016,True,300741000,300741000,300447000,300623000,118000,0,54430000,54316000,114000,26557000,25868000,689000,0,0,0,34292000,266331000,R,R,0.0,70,True,18.1,18.1,18.11,20.44,8.83,8.83,8.83,9.97,26.93,26.93,26.94,30.41
123093,05200100900000,Oakland,CA,53000,2012,419267,2016,True,1312390000,1312390000,1312390000,1312390000,0,0,195195000,193257000,1938000,105324000,104241000,1083000,0,0,211575000,71048000,1029767000,R,R,0.0,89,True,14.87,14.87,14.87,18.96,8.03,8.03,8.03,10.23,22.9,22.9,22.9,29.18
123096,05200700100000,Antioch,CA,02252,2012,110542,2016,True,83176000,57911000,57182000,57911000,0,0,25261000,25251000,10000,0,0,0,0,0,0,1365000,56546000,R,-,0.0,59,True,43.62,30.37,43.62,44.67,0.0,0.0,0.0,0.0,43.62,30.37,43.62,44.67
123110,05201902200000,Inglewood,CA,36546,2012,111666,2016,True,182502000,161622000,161622000,161622000,0,0,31190000,31190000,0,10935000,10935000,0,0,0,0,2530000,159092000,R,R,0.0,68,True,19.3,17.09,19.3,19.61,6.77,5.99,6.77,6.87,26.06,23.08,26.06,26.48
123117,05201950600000,Norwalk,CA,52526,2012,107140,2016,True,84496000,67831000,67831000,67831000,0,0,13363000,13363000,0,0,0,0,0,0,0,4971000,62860000,R,-,0.0,55,True,19.7,15.81,19.7,21.26,0.0,0.0,0.0,0.0,19.7,15.81,19.7,21.26
123137,05203100500000,Roseville,CA,62938,2012,130269,2016,True,422754000,243401000,243401000,243401000,0,0,29184000,28694000,490000,25731000,23534000,2197000,0,0,0,0,243401000,R,R,0.0,80,True,11.99,6.9,11.99,11.99,10.57,6.09,10.57,10.57,22.56,12.99,22.56,22.56
123146,05203600900000,Rialto,CA,60466,2012,103132,2016,True,117430000,108901000,107124000,108458000,443000,0,25773000,24527000,1246000,9755000,9617000,138000,0,0,184000,4435000,103839000,R,R,0.0,66,True,23.67,21.95,23.76,24.82,8.96,8.31,8.99,9.39,32.62,30.25,32.76,34.21
123157,05204101200000,San Mateo,CA,68252,2012,103536,2016,True,148383000,148383000,145647000,148383000,0,0,28790000,28264000,526000,21432000,18510000,2922000,246000,229000,0,1896000,146487000,R,R,0.0,77,True,19.4,19.4,19.4,19.65,14.44,14.44,14.44,14.63,33.85,33.85,33.85,34.28
123165,05205400600000,Visalia,CA,82954,2012,130104,2016,True,157965000,143761000,143441000,143761000,0,0,28306000,28162000,144000,11772000,11756000,16000,0,0,1850000,0,141911000,R,R,0.0,71,True,19.69,17.92,19.69,19.95,8.19,7.45,8.19,8.3,27.88,25.37,27.88,28.24
124038,07200100100000,Bridgeport,CT,08000,2012,147629,2016,True,743572000,743572000,731564000,410782000,332790000,3339000,92163000,92163000,0,53913000,53913000,0,0,0,1142000,4055000,402246000,R,R,0.0,59,True,12.39,12.39,22.44,22.91,7.25,7.25,13.12,13.4,19.65,19.65,35.56,36.32
124214,09200100100000,Washington Dc,DC,50000,2012,672228,2016,True,11463220000,10765049000,10765049000,8393395000,2371654000,884278000,563763000,506149000,57614000,211472000,195385000,16087000,0,0,0,444072000,7065045000,R,R,0.0,158,True,5.24,4.92,6.72,7.98,1.96,1.84,2.52,2.99,7.2,6.76,9.24,10.97
124438,11202500300000,Savannah,GA,69000,2012,145674,2016,True,345080000,305005000,301172000,305005000,0,2092000,62497000,60750000,1747000,24572000,24140000,432000,0,0,27260000,0,275653000,R,R,0.0,99,True,20.49,18.11,20.49,22.67,8.06,7.12,8.06,8.91,28.55,25.23,28.55,31.59
126027,15202900300000,Carmel,IN,10342,2012,88713,2016,True,128933000,93799000,93799000,93799000,0,0,15059000,14969000,90000,17382000,17382000,0,0,0,0,0,93799000,R,R,0.0,62,True,16.05,11.68,16.05,16.05,18.53,13.48,18.53,18.53,34.59,25.16,34.59,34.59
126081,15207100800000,South Bend,IN,71000,2012,101516,2016,True,167092000,141542000,141494000,141542000,0,0,23837000,23757000,80000,19716000,19716000,0,0,0,0,483000,141059000,R,R,0.055,83,True,16.84,14.27,16.84,16.9,13.93,11.8,13.93,13.98,30.77,26.07,30.77,30.88
127810,19200900300000,Shreveport,LA,70000,2012,197204,2016,True,373364000,315248000,315248000,315248000,0,0,57303000,54966000,2337000,49907000,49135000,772000,0,0,15339000,0,299909000,R,R,0.0,91,True,18.18,15.35,18.18,19.11,15.83,13.37,15.83,16.64,34.01,28.71,34.01,35.75
128108,22201300100000,Boston,MA,07000,2012,667137,2016,True,3213947000,3015689000,2850673000,1913895000,1101794000,276095000,315766000,311312000,4454000,186331000,185620000,711000,0,0,0,14909000,1622891000,R,R,0.0,115,True,10.47,9.82,16.5,19.46,6.18,5.8,9.74,11.48,16.65,15.62,26.23,30.94
128309,23205001400000,Warren,MI,84000,2012,135358,2016,True,155570000,136729000,136729000,136729000,0,0,34857000,34810000,47000,19748000,19230000,518000,0,0,0,0,136729000,R,R,0.029,66,True,25.49,22.41,25.49,25.49,14.44,12.69,14.44,14.44,39.94,35.1,39.94,39.94
129295,25202500400000,Jackson,MS,36000,2012,170674,2016,True,242905000,210698000,210698000,210698000,0,3566000,32615000,28965000,3650000,21182000,19398000,1784000,0,0,26817000,1003000,179312000,R,R,0.0,82,True,15.48,13.43,15.48,18.19,10.05,8.72,10.05,11.81,25.53,22.15,25.53,30.0
129515,26204800500000,Independence,MO,35000,2012,117255,2016,True,353685000,195971000,195971000,195971000,0,3575000,29342000,29342000,0,17270000,17270000,0,0,0,0,3055000,189341000,R,R,0.0,70,True,14.97,8.3,14.97,15.5,8.81,4.88,8.81,9.12,23.79,13.18,23.79,24.62
130835,31200700900000,Newark,NJ,51000,2012,281944,2016,True,861894000,810622000,762126000,809150000,1472000,2233000,132018000,132012000,6000,71672000,71450000,222000,0,0,0,36774000,770143000,R,R,0.0,81,True,16.29,15.32,16.32,17.14,8.84,8.32,8.86,9.31,25.13,23.63,25.17,26.45
131239,33202800800000,Rochester,NY,63000,2012,209802,2016,True,1248429000,1222912000,1220663000,547907000,675005000,0,81362000,81275000,87000,45230000,45230000,0,0,0,0,1541000,546366000,R,R,0.511,76,True,6.65,6.52,14.85,14.89,3.7,3.62,8.26,8.28,10.35,10.14,23.1,23.17
131717,34202600100000,Fayetteville,NC,22920,2012,201963,2016,True,487651000,235093000,233634000,235093000,0,0,44395000,42203000,2192000,24828000,22293000,2535000,145000,0,10942000,0,224151000,R,R,0.026,107,True,18.88,9.1,18.88,19.81,10.56,5.09,10.56,11.08,29.44,14.2,29.44,30.88
131775,34209200200000,Cary,NC,10740,2012,159769,2016,True,246597000,209542000,209542000,209542000,0,0,22486000,21752000,734000,20458000,17792000,2666000,0,0,0,0,209542000,R,R,0.099,73,True,10.73,9.12,10.73,10.73,9.76,8.3,9.76,9.76,20.49,17.41,20.49,20.49
133222,38202000400000,Eugene,OR,23850,2012,163460,2016,True,534222000,254515000,252874000,254515000,0,0,46411000,45393000,1018000,31297000,30915000,382000,0,0,9747000,0,244768000,R,R,0.0,87,True,18.24,8.69,18.24,18.96,12.3,5.86,12.3,12.79,30.53,14.55,30.53,31.75
133470,39200205600000,Pittsburgh,PA,61000,2012,304391,2016,True,548857000,548857000,548857000,548857000,0,0,77243000,77243000,0,51539000,51539000,0,0,0,0,13828000,535029000,R,R,0.0,60,True,14.07,14.07,14.07,14.44,9.39,9.39,9.39,9.63,23.46,23.46,23.46,24.07
133602,39205100100000,Philadelphia,PA,60000,2012,1567442,2016,True,6446611000,5416858000,5342519000,5342519000,74339000,568416000,610112000,602460000,7652000,199311000,193277000,6034000,0,0,197803000,1357317000,3218983000,R,R,0.0,134,True,11.26,9.46,11.42,18.95,3.68,3.09,3.73,6.19,14.94,12.56,15.15,25.15
135095,44202050300000,Pearland,TX,56348,2012,108821,2016,True,139897000,115644000,115303000,115644000,0,949000,15472000,15082000,390000,5435000,3420000,2015000,0,0,0,4293000,110402000,R,R,0.0,72,True,13.38,11.06,13.38,14.01,4.7,3.89,4.7,4.92,18.08,14.94,18.08,18.94
135130,44205700400000,Carrollton,TX,13024,2012,133168,2016,True,141683000,119345000,119345000,119345000,0,0,20845000,20838000,7000,16666000,16642000,24000,0,0,0,2439000,116906000,R,R,0.0,57,True,17.47,14.71,17.47,17.83,13.96,11.76,13.96,14.26,31.43,26.48,31.43,32.09
135132,44205702000000,Mesquite,TX,47892,2012,144788,2016,True,185622000,164532000,164532000,164532000,0,0,30482000,30474000,8000,24365000,23521000,844000,0,0,1293000,1281000,161958000,R,R,0.0,63,True,18.53,16.42,18.53,18.82,14.81,13.13,14.81,15.04,33.34,29.55,33.34,33.86
135275,44221200500000,Tyler,TX,74144,2012,103700,2016,True,146365000,120149000,120149000,120149000,0,0,22245000,22245000,0,14892000,14892000,0,0,0,3078000,0,117071000,R,R,0.0,87,True,18.51,15.2,18.51,19.0,12.39,10.17,12.39,12.72,30.91,25.37,30.91,31.72
135285,44222600100000,San Angelo,TX,64472,2012,100450,2016,True,118876000,98622000,98622000,98622000,0,0,15576000,15454000,122000,17964000,13816000,4148000,0,0,2912000,3451000,92259000,R,R,0.0,77,True,15.79,13.1,15.79,16.88,18.22,15.11,18.22,19.47,34.01,28.21,34.01,36.35
135293,44224000100000,Laredo,TX,41464,2012,255473,2016,True,443119000,350852000,350013000,350852000,0,4274000,52646000,52595000,51000,38209000,38209000,0,0,0,22664000,14353000,309561000,R,R,0.0,101,True,15.01,11.88,15.01,17.01,10.89,8.62,10.89,12.34,25.9,20.5,25.9,29.35
135295,44224300400000,Wichita Falls,TX,79000,2012,104710,2016,True,156484000,113965000,113965000,113965000,0,0,20085000,19950000,135000,12751000,12751000,0,0,0,2575000,4647000,106743000,R,R,0.0,82,True,17.62,12.84,17.62,18.82,11.19,8.15,11.19,11.95,28.81,20.98,28.81,30.76
135298,44224600600000,Round Rock,TX,63500,2012,115997,2016,True,141725000,119493000,119493000,119493000,0,0,23328000,21994000,1334000,13664000,12782000,882000,0,0,0,788000,118705000,R,R,0.0,63,True,19.52,16.46,19.52,19.65,11.43,9.64,11.43,11.51,30.96,26.1,30.96,31.16
136056,47211500100000,Hampton,VA,35000,2012,136454,2016,True,516841000,516841000,515561000,281690000,235151000,31258000,26899000,26637000,262000,18915000,18191000,724000,0,0,0,4003000,246429000,R,R,0.0,95,True,5.2,5.2,9.55,10.92,3.66,3.66,6.71,7.68,8.86,8.86,16.26,18.59
136057,47212200100000,Norfolk,VA,57000,2012,246393,2016,True,1231538000,1153676000,1144483000,737744000,415932000,101463000,68217000,64784000,3433000,40619000,39945000,674000,0,0,31340000,37286000,567655000,R,R,0.0,127,True,5.91,5.54,9.25,12.02,3.52,3.3,5.51,7.16,9.43,8.84,14.75,19.17
136110,48201702000000,Renton,WA,57745,2012,100242,2016,True,175790000,161608000,159066000,161608000,0,28720000,19240000,19240000,0,19492000,19452000,40000,0,0,1593000,347000,130948000,R,R,0.0,78,True,11.91,10.94,11.91,14.69,12.06,11.09,12.06,14.89,23.97,22.03,23.97,29.58
136562,50204100900000,Milwaukee,WI,53000,2012,600155,2016,True,1088909000,1000483000,961852000,1000483000,0,5546000,256575000,253118000,3457000,112584000,109229000,3355000,0,0,143000,23918000,970876000,R,R,0.0,83,True,25.65,23.56,25.65,26.43,11.25,10.34,11.25,11.6,36.9,33.9,36.9,38.02
137232,05201940200000,Santa Clarita,CA,69088,2012,182371,2016,True,169273000,145645000,145645000,145645000,0,0,18878000,18878000,0,33000,33000,0,0,0,0,141000,145504000,R,R,0.0,55,True,12.96,11.15,12.96,12.97,0.02,0.02,0.02,0.02,12.98,11.17,12.98,13.0
137234,05203340200000,Temecula,CA,78120,2012,112011,2016,True,129652000,129652000,103809000,129652000,0,0,0,0,0,0,0,0,22503000,3340000,0,295000,129357000,-,-,0.0,51,False,,,,,,,,,,,,
160683,01204900400000,Mobile,AL,50000,2012,194288,2016,True,387098000,351519000,351519000,351519000,0,7539000,42444000,42444000,0,24720000,24720000,0,0,0,0,6108000,337872000,R,R,0.232,68,True,12.07,10.96,12.07,12.56,7.03,6.39,7.03,7.32,19.11,17.35,19.11,19.88
160723,01206300200000,Tuscaloosa,AL,77256,2012,98332,2016,True,188557000,163003000,147877000,150068000,12935000,983000,28432000,28275000,157000,18900000,18900000,0,0,0,845000,176000,148064000,R,R,0.058,76,True,17.44,15.08,18.95,19.2,11.59,10.02,12.59,12.76,29.04,25.1,31.54,31.97
160830,03200700200000,Buckeye,AZ,07940,2012,62138,2016,True,56329000,48165000,47946000,48165000,0,219000,9546000,9182000,364000,7876000,7876000,0,0,0,600000,0,47346000,R,R,0.152,51,True,19.82,16.95,19.82,20.16,16.35,13.98,16.35,16.63,36.17,30.93,36.17,36.8
160831,03200700500000,Gilbert,AZ,27400,2012,247542,2016,True,227683000,189633000,181914000,189633000,0,1383000,36055000,35938000,117000,21207000,20988000,219000,144000,0,0,0,188250000,R,R,0.0,71,True,19.01,15.84,19.01,19.15,11.18,9.31,11.18,11.27,30.2,25.15,30.2,30.42
160832,03200700900000,Peoria,AZ,54050,2012,171237,2016,True,196467000,169003000,159950000,168546000,457000,833000,29557000,28737000,820000,17532000,17504000,28000,0,0,0,0,167713000,R,R,0.0,77,True,17.49,15.04,17.54,17.62,10.37,8.92,10.4,10.45,27.86,23.97,27.94,28.08
160833,03200701200000,Tempe,AZ,73000,2012,175826,2016,True,362031000,272294000,272294000,272294000,0,0,66408000,62401000,4007000,28157000,28157000,0,0,0,0,0,272294000,R,R,0.0,56,True,24.39,18.34,24.39,24.39,10.34,7.78,10.34,10.34,34.73,26.12,34.73,34.73
160840,03201000200000,Tucson,AZ,77000,2012,531641,2016,True,847939000,608535000,608535000,608535000,0,0,133125000,133125000,0,77620000,77620000,0,0,0,43581000,0,564954000,R,R,0.0,72,True,21.88,15.7,21.88,23.56,12.76,9.15,12.76,13.74,34.63,24.85,34.63,37.3
161123,05200100600000,Hayward,CA,33000,2012,158289,2016,True,227619000,190472000,190472000,190472000,0,0,56991000,56991000,0,31084000,31084000,0,0,0,3241000,2116000,185115000,R,R,0.0,68,True,29.92,25.04,29.92,30.79,16.32,13.66,16.32,16.79,46.24,38.69,46.24,47.58
161130,05200400200000,Chico,CA,13014,2012,90316,2016,True,97430000,91851000,91728000,91851000,0,0,21657000,21326000,331000,13388000,12897000,491000,0,0,716000,232000,90903000,R,R,0.0,62,True,23.58,22.23,23.58,23.82,14.58,13.74,14.58,14.73,38.15,35.97,38.15,38.55
161132,05200700300000,Concord,CA,16000,2012,128667,2016,True,128313000,128313000,128313000,128313000,0,0,42862000,42205000,657000,0,0,0,0,0,0,0,128313000,R,-,0.0,55,True,33.4,33.4,33.4,33.4,0.0,0.0,0.0,0.0,33.4,33.4,33.4,33.4
161135,05200700900000,Richmond,CA,60620,2012,109708,2016,True,275817000,274286000,274286000,274286000,0,0,64448000,63817000,631000,22986000,22835000,151000,0,0,6462000,1424000,266400000,R,R,0.0,72,True,23.5,23.37,23.5,24.19,8.38,8.33,8.38,8.63,31.88,31.7,31.88,32.82
161169,05201901400000,El Monte,CA,22230,2012,116732,2016,True,96949000,92660000,84540000,92660000,0,0,22458000,21810000,648000,0,0,0,0,8120000,0,72000,92588000,R,-,0.0,59,True,24.24,23.16,24.24,24.26,0.0,0.0,0.0,0.0,24.24,23.16,24.24,24.26
161170,05201901700000,Glendale,CA,30000,2012,201020,2016,True,601860000,334413000,334413000,334413000,0,0,69521000,66848000,2673000,66361000,60104000,6257000,0,0,0,775000,333638000,R,R,0.0,78,True,20.79,11.55,20.79,20.84,19.84,11.03,19.84,19.89,40.63,22.58,40.63,40.73
161173,05201902600000,Long Beach,CA,43000,2012,474140,2016,True,1970303000,1760551000,1760551000,1760551000,0,0,201429000,197623000,3806000,62190000,61114000,1076000,0,0,423947000,52787000,1283817000,R,R,0.0,92,True,11.44,10.22,11.44,15.69,3.53,3.16,3.53,4.84,14.97,13.38,14.97,20.53
161174,05201902700000,Los Angeles,CA,44000,2012,3971883,2016,True,13570566000,8678060000,8676536000,8678060000,0,0,1699729000,1664697000,35032000,445927000,422475000,23452000,0,0,1971935000,228768000,6477357000,R,R,0.0,111,True,19.59,12.53,19.59,26.24,5.14,3.29,5.14,6.88,24.73,15.81,24.73,33.13
161179,05201903600000,Pomona,CA,58072,2012,153266,2016,True,242742000,201586000,201586000,201586000,0,0,40458000,39608000,850000,23506000,23110000,396000,0,0,0,0,201586000,R,R,0.0,67,True,20.07,16.67,20.07,20.07,11.66,9.68,11.66,11.66,31.73,26.35,31.73,31.73
161212,05202700800000,Salinas,CA,64224,2012,157380,2016,True,122582000,122574000,122574000,122574000,0,0,40810000,39908000,902000,18504000,17937000,567000,0,0,1716000,4413000,116445000,R,R,0.0,71,True,33.29,33.29,33.29,35.05,15.1,15.1,15.1,15.89,48.39,48.39,48.39,50.94
